Player,Nation,Pos,Squad,Comp,Age,GA,GA90,SoTA,Saves,Stp,Stp%,CS,PKA,PKsv,PKm,PSxG,PSxG/SoT,PSxG+/-,/90,Att (GK),Thr,Launch%,AvgLen,Recov,Opp,AvgDist,#OPA
Adrián,es ESP,GK,Betis,es La Liga,37.0,27.0,1.42,76.0,49.0,14.0,5.4,3.0,1.0,0.0,0.0,26.0,0.33,-1.0,-0.05,507.0,91.0,28.0,31.2,20,257.0,11.7,16.0
Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,23.0,9.0,0.67,34.0,24.0,20.0,14.0,5.0,1.0,1.0,0.0,10.5,0.27,1.5,0.11,341.0,51.0,37.5,33.9,21,143.0,14.2,17.0
Alisson,br BRA,GK,Liverpool,eng Premier League,31.0,29.0,1.04,100.0,73.0,11.0,4.3,9.0,1.0,0.0,0.0,30.5,0.3,3.5,0.13,877.0,128.0,19.7,26.6,47,255.0,16.0,49.0
Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,31.0,41.0,1.63,115.0,77.0,15.0,3.8,5.0,0.0,0.0,0.0,35.4,0.31,-2.6,-0.1,788.0,119.0,34.4,32.1,29,394.0,15.0,30.0
Kepa Arrizabalaga,es ESP,GK,Bournemouth,eng Premier League,29.0,39.0,1.26,134.0,95.0,22.0,6.0,8.0,4.0,0.0,0.0,41.0,0.28,2.0,0.07,831.0,122.0,33.2,32.9,56,367.0,16.0,54.0
Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,22.0,37.0,1.44,120.0,81.0,34.0,9.0,10.0,0.0,2.0,0.0,37.0,0.3,0.0,0.0,1012.0,110.0,32.4,33.1,53,377.0,12.7,28.0
Emil Audero,id IDN,GK,Como,it Serie A,27.0,18.0,2.25,34.0,16.0,5.0,5.3,0.0,4.0,0.0,0.0,12.4,0.27,-5.6,-0.7,232.0,30.0,22.0,28.6,12,95.0,12.9,8.0
Brandon Austin,eng ENG,GK,Tottenham,eng Premier League,25.0,2.0,2.0,4.0,2.0,5.0,33.3,0.0,0.0,0.0,0.0,2.2,0.55,0.2,0.2,26.0,5.0,38.5,32.3,1,15.0,12.4,2.0
Augusto Batalla,ar ARG,GK,Rayo Vallecano,es La Liga,28.0,39.0,1.22,133.0,93.0,35.0,7.7,8.0,6.0,2.0,0.0,40.0,0.25,2.0,0.06,989.0,129.0,42.3,38.2,49,453.0,14.4,38.0
Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,34.0,53.0,1.89,138.0,84.0,18.0,4.4,4.0,2.0,3.0,0.0,52.1,0.36,1.1,0.04,923.0,121.0,41.6,36.5,53,407.0,14.5,31.0
Altay Bayındır,tr TUR,GK,Manchester Utd,eng Premier League,26.0,10.0,2.5,17.0,8.0,4.0,7.1,1.0,0.0,0.0,0.0,10.1,0.59,1.1,0.27,128.0,12.0,34.4,34.1,3,56.0,12.0,7.0
Daniel Bentley,eng ENG,GK,Wolves,eng Premier League,31.0,4.0,2.0,12.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,3.9,0.33,-0.1,-0.04,52.0,6.0,25.0,28.1,4,25.0,16.4,3.0
Dimitry Bertaud,cd COD,GK,Montpellier,fr Ligue 1,26.0,11.0,2.75,21.0,10.0,8.0,14.5,0.0,2.0,0.0,0.0,8.8,0.35,-2.2,-0.54,86.0,19.0,38.4,34.5,2,55.0,13.3,3.0
Marco Bizot,nl NED,GK,Brest,fr Ligue 1,33.0,54.0,1.69,128.0,74.0,33.0,7.2,10.0,8.0,1.0,1.0,46.2,0.31,-6.8,-0.21,902.0,134.0,42.0,36.0,34,459.0,16.2,53.0
Jean Butez,fr FRA,GK,Como,it Serie A,29.0,20.0,1.08,68.0,48.0,22.0,11.6,5.0,2.0,0.0,0.0,20.1,0.27,0.1,0.0,709.0,92.0,30.2,32.0,43,190.0,18.2,51.0
Marcin Bułka,pl POL,GK,Nice,fr Ligue 1,24.0,41.0,1.21,161.0,120.0,39.0,8.3,8.0,2.0,1.0,0.0,43.0,0.26,3.0,0.09,948.0,173.0,22.8,28.6,62,470.0,12.8,33.0
Elia Caprile,it ITA,GK,Cagliari,it Serie A,22.0,22.0,1.22,66.0,44.0,18.0,6.8,5.0,1.0,0.0,0.0,23.5,0.35,1.5,0.08,546.0,93.0,44.1,36.8,16,266.0,15.6,23.0
Elia Caprile,it ITA,GK,Napoli,it Serie A,22.0,1.0,0.28,8.0,7.0,3.0,9.7,3.0,0.0,0.0,0.0,2.2,0.27,1.2,0.32,82.0,9.0,25.6,31.7,3,31.0,13.7,3.0
Dani Cárdenas,es ESP,GK,Rayo Vallecano,es La Liga,27.0,6.0,1.0,20.0,14.0,2.0,2.5,2.0,0.0,0.0,0.0,5.6,0.29,-0.4,-0.06,132.0,21.0,56.8,44.3,6,79.0,10.2,1.0
Tiago Cardoso,lu LUX,GK,Gladbach,de Bundesliga,18.0,3.0,0.71,23.0,20.0,14.0,14.6,2.0,0.0,0.0,0.0,4.7,0.2,1.7,0.39,148.0,22.0,27.0,29.2,4,96.0,5.6,1.0
Patrik Carlgren,se SWE,GK,Nantes,fr Ligue 1,32.0,7.0,1.51,28.0,21.0,1.0,1.3,1.0,0.0,0.0,0.0,8.5,0.3,1.5,0.31,99.0,27.0,36.4,34.4,3,80.0,10.9,1.0
Marco Carnesecchi,it ITA,GK,Atalanta,it Serie A,24.0,34.0,1.0,129.0,97.0,21.0,6.6,13.0,2.0,0.0,0.0,36.1,0.28,4.1,0.12,878.0,177.0,28.2,32.3,57,319.0,14.5,45.0
Lucas Chevalier,fr FRA,GK,Lille,fr Ligue 1,22.0,36.0,1.06,126.0,91.0,21.0,5.6,11.0,4.0,0.0,0.0,42.2,0.32,7.2,0.21,968.0,144.0,25.7,29.6,70,373.0,13.9,24.0
Leandro Chichizola,ar ARG,GK,Parma,it Serie A,34.0,3.0,3.0,6.0,3.0,2.0,9.5,0.0,0.0,0.0,0.0,2.5,0.43,-0.5,-0.54,41.0,5.0,31.7,33.9,0,21.0,16.3,2.0
Jasper Cillessen,nl NED,GK,Las Palmas,es La Liga,35.0,42.0,1.62,128.0,85.0,13.0,3.1,3.0,4.0,3.0,1.0,44.3,0.3,4.3,0.16,820.0,142.0,39.5,34.5,20,413.0,14.5,20.0
Diego Conde,es ESP,GK,Villarreal,es La Liga,25.0,33.0,1.51,94.0,62.0,18.0,5.6,2.0,3.0,0.0,1.0,26.3,0.26,-5.7,-0.26,532.0,111.0,22.7,28.2,30,323.0,11.9,16.0
Grégoire Coudert,fr FRA,GK,Brest,fr Ligue 1,25.0,5.0,2.5,13.0,9.0,1.0,3.3,0.0,0.0,0.0,0.0,2.8,0.22,-1.2,-0.6,60.0,7.0,28.3,31.4,3,30.0,18.5,3.0
Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,32.0,29.0,0.97,104.0,76.0,16.0,4.6,11.0,3.0,0.0,0.0,28.7,0.27,0.7,0.02,871.0,173.0,18.5,28.2,45,350.0,10.7,14.0
Finn Dahmen,de GER,GK,Augsburg,de Bundesliga,26.0,19.0,1.0,82.0,65.0,9.0,2.7,9.0,2.0,0.0,0.0,24.2,0.29,7.2,0.38,614.0,51.0,38.6,34.9,33,337.0,14.7,26.0
Thomas Dähne,de GER,GK,Holstein Kiel,de Bundesliga,30.0,19.0,2.11,55.0,36.0,15.0,8.5,0.0,2.0,1.0,0.0,18.5,0.3,0.5,0.06,304.0,55.0,25.7,30.3,15,177.0,9.3,5.0
Théo De Percin,mq MTQ,GK,Auxerre,fr Ligue 1,23.0,3.0,1.5,9.0,5.0,3.0,7.9,1.0,1.0,1.0,0.0,3.5,0.22,0.5,0.23,46.0,5.0,45.7,40.3,2,38.0,13.1,3.0
Rémy Descamps,fr FRA,GK,Lyon,fr Ligue 1,28.0,2.0,2.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.23,-0.6,-0.62,28.0,2.0,14.3,27.5,0,7.0,7.0,0.0
Arthur Desmas,fr FRA,GK,Le Havre,fr Ligue 1,30.0,38.0,2.11,93.0,54.0,12.0,4.3,3.0,2.0,1.0,0.0,38.7,0.4,0.7,0.04,404.0,72.0,28.5,30.9,12,277.0,11.9,7.0
Michele Di Gregorio,it ITA,GK,Juventus,it Serie A,27.0,32.0,0.97,103.0,71.0,29.0,6.2,14.0,5.0,0.0,0.0,28.1,0.24,-3.9,-0.12,848.0,126.0,30.0,31.4,36,469.0,13.1,30.0
Stole Dimitrievski,mk MKD,GK,Valencia,es La Liga,30.0,6.0,1.5,12.0,6.0,3.0,5.9,0.0,1.0,0.0,1.0,4.5,0.29,-1.5,-0.38,113.0,25.0,49.6,40.5,7,51.0,25.7,16.0
Yehvann Diouf,sn SEN,GK,Reims,fr Ligue 1,24.0,47.0,1.38,179.0,131.0,31.0,5.6,7.0,4.0,1.0,0.0,61.6,0.33,14.6,0.43,993.0,153.0,34.4,33.3,45,554.0,14.6,42.0
Marko Dmitrović,rs SRB,GK,Leganés,es La Liga,32.0,49.0,1.53,150.0,103.0,49.0,8.5,10.0,7.0,0.0,1.0,50.2,0.3,3.2,0.1,743.0,112.0,65.3,47.2,37,579.0,14.5,53.0
Gianluigi Donnarumma,it ITA,GK,Paris S-G,fr Ligue 1,25.0,25.0,1.08,74.0,49.0,10.0,5.0,4.0,1.0,0.0,0.0,21.7,0.29,-3.3,-0.14,543.0,90.0,13.6,25.1,40,199.0,14.4,19.0
Patrick Drewes,de GER,GK,Bochum,de Bundesliga,31.0,46.0,2.19,99.0,51.0,12.0,4.2,2.0,3.0,2.0,0.0,42.3,0.38,-3.7,-0.18,681.0,65.0,50.1,37.6,36,285.0,15.8,33.0
Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,35.0,12.0,1.2,41.0,29.0,10.0,7.9,5.0,0.0,0.0,0.0,12.9,0.32,0.9,0.09,273.0,54.0,15.8,25.2,18,127.0,15.3,11.0
Ederson,br BRA,GK,Manchester City,eng Premier League,30.0,26.0,1.01,78.0,53.0,13.0,5.8,10.0,2.0,0.0,0.0,30.0,0.37,5.0,0.19,846.0,108.0,17.4,27.9,42,224.0,17.5,49.0
Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,39.0,21.0,1.63,71.0,50.0,10.0,4.5,2.0,3.0,0.0,0.0,22.6,0.29,1.6,0.12,394.0,55.0,41.9,35.5,5,220.0,13.1,12.0
Wladimiro Falcone,it ITA,GK,Lecce,it Serie A,29.0,58.0,1.53,181.0,125.0,29.0,4.9,9.0,8.0,1.0,1.0,53.8,0.26,-1.2,-0.03,1017.0,120.0,51.9,39.1,32,590.0,11.0,19.0
Frank Feller,de GER,GK,Heidenheim,de Bundesliga,20.0,0.0,0.0,2.0,2.0,1.0,4.0,2.0,0.0,0.0,0.0,0.3,0.16,0.3,0.24,54.0,7.0,42.6,38.0,2,25.0,14.8,1.0
Aitor Fernández,es ESP,GK,Osasuna,es La Liga,33.0,0.0,0.0,5.0,5.0,1.0,7.1,1.0,0.0,0.0,0.0,1.2,0.23,1.2,1.15,34.0,4.0,70.6,44.4,2,14.0,10.6,1.0
Álvaro Fernández,es ESP,GK,Sevilla,es La Liga,26.0,16.0,1.93,36.0,20.0,7.0,6.7,3.0,2.0,0.0,0.0,11.0,0.25,-5.0,-0.61,277.0,32.0,39.7,34.3,11,105.0,16.5,14.0
André Ferreira,pt POR,GK,Valladolid,es La Liga,28.0,20.0,3.33,39.0,19.0,4.0,4.3,0.0,3.0,0.0,0.0,15.3,0.35,-4.7,-0.79,138.0,26.0,37.0,33.8,6,92.0,10.4,3.0
Mark Flekken,nl NED,GK,Brentford,eng Premier League,31.0,55.0,1.51,203.0,150.0,46.0,7.9,7.0,1.0,0.0,0.0,52.7,0.26,-0.3,-0.01,1498.0,122.0,33.7,34.4,39,581.0,11.5,34.0
Yahia Fofana,ci CIV,GK,Angers,fr Ligue 1,23.0,51.0,1.55,186.0,135.0,48.0,9.0,7.0,3.0,0.0,1.0,63.5,0.34,12.5,0.38,751.0,180.0,38.6,35.8,36,531.0,10.7,20.0
Fraser Forster,eng ENG,GK,Tottenham,eng Premier League,36.0,15.0,2.14,42.0,27.0,4.0,4.9,1.0,2.0,0.0,0.0,16.5,0.36,1.5,0.21,141.0,30.0,21.3,27.2,1,81.0,11.1,3.0
Fran,es ESP,GK,Real Madrid,es La Liga,19.0,2.0,2.0,2.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,0.9,0.43,-1.1,-1.14,16.0,3.0,12.5,24.0,1,5.0,12.0,1.0
Joan García,es ESP,GK,Espanyol,es La Liga,23.0,51.0,1.34,192.0,140.0,64.0,9.6,8.0,4.0,2.0,0.0,57.7,0.28,7.7,0.2,1040.0,197.0,37.6,34.8,35,670.0,12.0,35.0
Paulo Gazzaniga,ar ARG,GK,Girona,es La Liga,32.0,51.0,1.44,143.0,90.0,36.0,8.6,8.0,2.0,3.0,0.0,45.4,0.29,-4.6,-0.13,1026.0,137.0,21.6,29.4,47,419.0,12.6,33.0
David de Gea,es ESP,GK,Fiorentina,it Serie A,33.0,38.0,1.12,133.0,94.0,13.0,2.7,10.0,1.0,2.0,0.0,37.0,0.26,0.0,0.0,886.0,129.0,40.1,35.8,26,478.0,14.5,28.0
Pierluigi Gollini,it ITA,GK,Genoa,it Serie A,29.0,15.0,2.14,32.0,16.0,2.0,2.2,1.0,3.0,1.0,0.0,12.2,0.29,-2.8,-0.39,198.0,21.0,24.7,30.4,5,92.0,9.6,2.0
Mathieu Gorgelin,fr FRA,GK,Le Havre,fr Ligue 1,33.0,33.0,2.06,82.0,50.0,21.0,7.8,1.0,3.0,0.0,0.0,34.2,0.4,2.2,0.14,435.0,75.0,32.9,32.4,16,269.0,10.5,8.0
Kamil Grabara,pl POL,GK,Wolfsburg,de Bundesliga,25.0,49.0,1.71,137.0,88.0,15.0,3.6,5.0,2.0,1.0,0.0,49.7,0.35,1.7,0.06,979.0,114.0,41.7,36.7,43,413.0,12.2,19.0
Dominik Greif,sk SVK,GK,Mallorca,es La Liga,27.0,34.0,1.1,116.0,83.0,15.0,2.9,7.0,2.0,0.0,0.0,33.9,0.28,0.9,0.03,847.0,126.0,41.9,36.4,42,511.0,12.9,21.0
Vicente Guaita,es ESP,GK,Celta Vigo,es La Liga,37.0,48.0,1.41,127.0,79.0,26.0,6.0,8.0,3.0,0.0,0.0,40.6,0.3,-7.4,-0.22,740.0,195.0,18.4,27.3,75,436.0,14.0,44.0
Péter Gulácsi,hu HUN,GK,RB Leipzig,de Bundesliga,34.0,39.0,1.33,137.0,97.0,23.0,5.3,14.0,2.0,1.0,0.0,42.6,0.3,3.6,0.12,705.0,140.0,20.3,28.6,41,434.0,14.8,34.0
Kjetil Haug,no NOR,GK,Toulouse,fr Ligue 1,26.0,7.0,1.27,16.0,9.0,5.0,6.9,1.0,0.0,0.0,0.0,6.6,0.45,-0.4,-0.06,95.0,13.0,37.9,34.1,6,72.0,12.1,3.0
Dean Henderson,eng ENG,GK,Crystal Palace,eng Premier League,27.0,51.0,1.34,150.0,101.0,30.0,5.4,11.0,1.0,1.0,0.0,51.2,0.35,3.2,0.08,942.0,115.0,47.5,38.5,26,559.0,14.3,40.0
Mads Hermansen,dk DEN,GK,Leicester City,eng Premier League,24.0,58.0,2.19,155.0,99.0,26.0,6.2,1.0,3.0,1.0,0.0,56.4,0.35,1.4,0.05,926.0,133.0,39.2,34.6,17,419.0,13.1,26.0
Sergio Herrera,es ESP,GK,Osasuna,es La Liga,31.0,52.0,1.41,182.0,131.0,32.0,6.1,8.0,7.0,0.0,0.0,56.2,0.28,5.2,0.14,966.0,139.0,43.2,37.6,33,524.0,19.7,85.0
Dinko Horkaš,hr CRO,GK,Las Palmas,es La Liga,25.0,19.0,1.58,54.0,35.0,9.0,6.1,1.0,1.0,1.0,0.0,19.4,0.34,1.4,0.11,475.0,53.0,31.8,32.5,14,148.0,15.6,16.0
Timo Horn,de GER,GK,Bochum,de Bundesliga,31.0,22.0,1.69,54.0,32.0,6.0,3.3,3.0,0.0,0.0,1.0,18.5,0.35,-3.5,-0.27,400.0,29.0,60.8,43.6,25,182.0,14.8,18.0
Lukáš Hrádecký,fi FIN,GK,Leverkusen,de Bundesliga,34.0,38.0,1.31,118.0,83.0,12.0,4.1,6.0,4.0,0.0,0.0,35.8,0.28,0.8,0.03,774.0,110.0,30.9,31.5,70,296.0,17.3,39.0
Karl Jakob Hein,ee EST,GK,Valladolid,es La Liga,22.0,68.0,2.19,163.0,96.0,34.0,7.2,5.0,4.0,0.0,0.0,58.8,0.35,-8.2,-0.27,941.0,136.0,32.6,33.9,43,474.0,14.0,34.0
Vitezslav Jaros,cz CZE,GK,Liverpool,eng Premier League,23.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.03,0.0,0.25,7.0,2.0,85.7,50.9,0,2.0,11.0,0.0
Karl-Johan Johnsson,se SWE,GK,Strasbourg,fr Ligue 1,34.0,6.0,2.0,22.0,16.0,2.0,4.2,0.0,1.0,0.0,0.0,6.7,0.26,0.7,0.22,122.0,21.0,15.6,23.9,2,48.0,11.1,3.0
Sam Johnstone,eng ENG,GK,Wolves,eng Premier League,31.0,17.0,2.43,39.0,23.0,8.0,7.7,0.0,2.0,0.0,0.0,13.0,0.29,-3.0,-0.43,252.0,28.0,45.6,36.6,9,104.0,13.4,11.0
Jesse Joronen,fi FIN,GK,Venezia,it Serie A,31.0,15.0,1.92,40.0,27.0,6.0,4.8,2.0,3.0,0.0,0.0,12.6,0.26,-0.4,-0.05,260.0,46.0,28.1,31.0,11,125.0,9.4,5.0
Luiz Lúcio Reis Júnior,br BRA,GK,Villarreal,es La Liga,23.0,18.0,1.11,66.0,48.0,16.0,6.3,5.0,4.0,0.0,0.0,18.1,0.23,0.1,0.0,392.0,96.0,31.9,31.6,18,256.0,12.2,20.0
Filip Jørgensen,dk DEN,GK,Chelsea,eng Premier League,22.0,9.0,1.5,28.0,19.0,2.0,3.8,1.0,1.0,0.0,0.0,9.3,0.3,0.3,0.04,171.0,19.0,18.1,24.1,5,53.0,13.2,2.0
Caoimhín Kelleher,ie IRL,GK,Liverpool,eng Premier League,25.0,12.0,1.2,37.0,24.0,6.0,5.3,4.0,0.0,1.0,0.0,11.6,0.3,-0.4,-0.04,364.0,49.0,28.6,29.0,18,113.0,14.0,9.0
Antonín Kinský,cz CZE,GK,Tottenham,eng Premier League,21.0,11.0,1.83,32.0,23.0,10.0,8.9,1.0,0.0,0.0,0.0,10.5,0.33,1.5,0.25,186.0,37.0,26.9,30.7,6,112.0,12.1,9.0
Gregor Kobel,ch SUI,GK,Dortmund,de Bundesliga,26.0,47.0,1.47,129.0,82.0,22.0,5.2,7.0,4.0,0.0,0.0,47.4,0.35,1.4,0.04,1117.0,126.0,23.7,28.6,61,420.0,15.7,47.0
Hervé Koffi,bf BFA,GK,Lens,fr Ligue 1,27.0,8.0,1.6,26.0,18.0,4.0,7.5,0.0,2.0,0.0,0.0,11.1,0.38,3.1,0.61,115.0,22.0,29.6,33.2,3,53.0,9.4,2.0
Philipp Köhn,ch SUI,GK,Monaco,fr Ligue 1,26.0,19.0,1.0,63.0,44.0,16.0,7.1,8.0,1.0,0.0,0.0,17.2,0.26,-1.8,-0.1,447.0,70.0,25.7,29.9,37,225.0,14.8,20.0
Matej Kovar,cz CZE,GK,Leverkusen,de Bundesliga,24.0,5.0,1.0,16.0,12.0,2.0,3.8,3.0,0.0,0.0,0.0,3.5,0.22,-0.5,-0.09,131.0,16.0,21.4,27.9,6,52.0,16.9,6.0
Nediljko Labrović,hr CRO,GK,Augsburg,de Bundesliga,24.0,32.0,2.13,74.0,42.0,12.0,5.5,2.0,3.0,0.0,0.0,25.9,0.32,-6.1,-0.4,397.0,72.0,38.8,35.2,14,217.0,13.3,18.0
Alban Lafont,fr FRA,GK,Nantes,fr Ligue 1,25.0,19.0,1.58,49.0,32.0,16.0,8.0,2.0,3.0,0.0,0.0,16.8,0.3,-0.2,-0.02,309.0,56.0,34.0,34.9,11,200.0,10.6,6.0
Gautier Larsonneur,fr FRA,GK,Saint-Étienne,fr Ligue 1,27.0,77.0,2.26,209.0,132.0,24.0,4.7,5.0,13.0,2.0,0.0,73.5,0.3,-1.5,-0.04,978.0,145.0,38.8,34.7,41,510.0,14.0,33.0
Nicola Leali,it ITA,GK,Genoa,it Serie A,31.0,31.0,1.07,111.0,82.0,21.0,5.4,10.0,3.0,1.0,0.0,34.3,0.29,6.3,0.22,722.0,112.0,39.3,33.9,30,390.0,11.2,14.0
Benjamin Lecomte,fr FRA,GK,Montpellier,fr Ligue 1,33.0,68.0,2.27,173.0,107.0,20.0,4.9,1.0,6.0,1.0,0.0,57.3,0.31,-5.7,-0.2,814.0,115.0,42.5,36.2,35,408.0,14.3,26.0
Bernd Leno,de GER,GK,Fulham,eng Premier League,32.0,54.0,1.42,159.0,106.0,23.0,4.5,5.0,3.0,1.0,0.0,48.9,0.29,-3.1,-0.08,1231.0,167.0,22.7,28.9,50,507.0,13.3,33.0
Donovan Léon,gf GUF,GK,Auxerre,fr Ligue 1,31.0,48.0,1.5,164.0,118.0,28.0,5.4,9.0,5.0,1.0,0.0,55.8,0.32,10.8,0.34,935.0,173.0,53.0,42.0,33,518.0,14.6,39.0
Anthony Lopes,pt POR,GK,Nantes,fr Ligue 1,33.0,26.0,1.5,71.0,46.0,16.0,5.2,3.0,4.0,0.0,1.0,25.6,0.32,0.6,0.03,451.0,56.0,40.4,35.8,11,308.0,11.0,8.0
Pau López,es ESP,GK,Girona,es La Liga,29.0,2.0,4.0,3.0,1.0,3.0,17.6,0.0,0.0,0.0,0.0,1.3,0.44,-0.7,-1.33,17.0,2.0,35.3,35.8,1,17.0,9.8,1.0
Joe Lumley,eng ENG,GK,Southampton,eng Premier League,29.0,7.0,2.33,20.0,13.0,2.0,3.6,0.0,0.0,0.0,0.0,7.7,0.39,0.7,0.22,135.0,14.0,34.1,30.0,2,56.0,18.0,7.0
Andriy Lunin,ua UKR,GK,Real Madrid,es La Liga,25.0,7.0,1.0,20.0,13.0,2.0,3.3,4.0,0.0,0.0,0.0,6.4,0.32,-0.6,-0.09,155.0,29.0,20.0,26.9,14,61.0,14.9,12.0
Mike Maignan,fr FRA,GK,Milan,it Serie A,29.0,41.0,1.12,136.0,97.0,26.0,5.8,12.0,1.0,1.0,0.0,36.8,0.26,-1.2,-0.03,1355.0,174.0,17.4,27.8,67,447.0,18.7,68.0
Radosław Majecki,pl POL,GK,Monaco,fr Ligue 1,24.0,22.0,1.47,65.0,43.0,14.0,9.1,3.0,2.0,0.0,0.0,21.1,0.31,-0.9,-0.06,320.0,76.0,26.6,30.5,19,154.0,14.0,18.0
Giorgi Mamardashvili,ge GEO,GK,Valencia,es La Liga,23.0,48.0,1.41,136.0,89.0,33.0,7.0,8.0,5.0,2.0,0.0,46.1,0.3,1.1,0.03,859.0,134.0,36.0,34.5,29,472.0,14.3,38.0
Steve Mandanda,fr FRA,GK,Rennes,fr Ligue 1,39.0,23.0,1.39,51.0,29.0,7.0,4.0,6.0,2.0,1.0,0.0,17.0,0.29,-4.0,-0.24,426.0,66.0,33.6,32.7,26,175.0,15.7,21.0
Christos Mandas,gr GRE,GK,Lazio,it Serie A,22.0,7.0,0.78,27.0,20.0,20.0,15.4,4.0,0.0,0.0,0.0,7.9,0.29,0.9,0.1,308.0,36.0,36.4,35.9,18,130.0,16.8,22.0
Unai Marrero,es ESP,GK,Real Sociedad,es La Liga,22.0,3.0,1.5,12.0,8.0,1.0,4.8,0.0,0.0,1.0,0.0,3.5,0.22,0.5,0.26,41.0,11.0,24.4,28.3,1,21.0,16.8,3.0
Emiliano Martínez,ar ARG,GK,Aston Villa,eng Premier League,31.0,45.0,1.27,142.0,96.0,56.0,11.2,8.0,1.0,1.0,0.0,45.8,0.32,0.8,0.02,1208.0,132.0,26.3,30.4,34,498.0,13.7,35.0
Josep Martinez,es ESP,GK,Inter,it Serie A,26.0,3.0,0.6,14.0,11.0,3.0,3.7,3.0,0.0,0.0,0.0,4.1,0.31,1.1,0.23,216.0,15.0,20.4,28.6,4,81.0,15.8,3.0
Alex McCarthy,eng ENG,GK,Southampton,eng Premier League,34.0,13.0,2.6,37.0,24.0,8.0,10.8,0.0,2.0,0.0,0.0,12.6,0.29,-0.4,-0.07,132.0,29.0,33.3,29.5,4,74.0,6.5,0.0
Alex Meret,it ITA,GK,Napoli,it Serie A,27.0,25.0,0.75,84.0,59.0,21.0,5.6,16.0,1.0,2.0,1.0,25.3,0.27,2.3,0.07,1041.0,117.0,15.4,27.7,61,378.0,16.5,47.0
